SentenceID,CodeSwitchedSentence,NumberOfCodeSwitching,CodeSwitch1,Translation1,CodeSwitch2,Translation2,CodeSwitch3,Translation3,CodeSwitch4,Translation4,CodeSwitch5,Translation5,CodeSwitch6,Translation6,ChineseWordCount,EnglishWordCount,PunctuationCount,IndicesOfChineseWord,IndicesOfCodeSwitchedWord,IndicesOfPunctuation
0,全新 的 baby safety mirror ， 可以 看到 坐在 rear face seat 上 小孩 的 情况 ， $5 。,2,baby safety mirror,,rear face seat,,,,,,,,,,9,6,4,[0_1_6_7_8_12_13_14_15],[2_3_4_9_10_11],[5_16_17_18]
1,床头 桌 night stand$10,1,night,,,,,,,,,,,,2,1,1,[0_1],[2],[3]
2,小 蜡烛 一 盒 a box of little candles$2,1,a box of little,,,,,,,,,,,,4,4,1,[0_1_2_3],[4_5_6_7],[8]
3,三 个 帽子 three hats$5 in total,1,three hats$5 in total,,,,,,,,,,,,3,3,1,[0_1_2],[3_5_6],[4]
4,全程 dealer 保养 ， 没 出 过 任何 毛病 ， 非常 省 油 省心 。,1,dealer,,,,,,,,,,,,11,1,3,[0_2_4_5_6_7_8_10_11_12_13],[1],[3_9_14]
5,垃圾 桶 上 有 penn state 校徽,1,penn state,,,,,,,,,,,,5,2,0,[0_1_2_3_6],[4_5],
6,咖啡 机 hamilton beach one cup coffee,1,hamilton beach one cup coffee,,,,,,,,,,,,2,5,0,[0_1],[2_3_4_5_6],
7,补充 ： jeep 带有 按键 启动 、 遥控 启动 功能 。,1,jeep,,,,,,,,,,,,7,1,3,[0_3_4_5_7_8_9],[2],[1_6_10]
8,补充 ： jeep 带有 按键 启动 、 遥控 启动 功能 。,1,jeep,,,,,,,,,,,,7,1,3,[0_3_4_5_7_8_9],[2],[1_6_10]
9,求 一 张 成色 比较 新 的 queen size 的 木头 床 。,1,queen size,,,,,,,,,,,,10,2,1,[0_1_2_3_4_5_6_9_10_11],[7_8],[12]
10,地址 在 squirrel hill ， 请 联系 电话 pn7 .,2,squirrel hill,,pn7,,,,,,,,,,5,2,2,[0_1_5_6_7],[2_3_8],[4_9]
11,坐 几 站 bus 就 能 到 giant eagle ；,2,bus,,giant eagle,,,,,,,,,,6,3,1,[0_1_2_4_5_6],[3_7_8],[9]
12,本人 因 做 毕业 论文 离开 匹兹堡 现 出售 自己 的 buick century 。,1,buick century,,,,,,,,,,,,11,2,1,[0_1_2_3_4_5_6_7_8_9_10],[11_12],[13]
13,google drive 地址 ：,1,google drive,,,,,,,,,,,,1,2,1,[2],[0_1],[3]
14,hello ~ 下面 先 列 个 列表 ， 包括 物品 、 价格 、 赠品 。,1,hello,,,,,,,,,,,,9,1,5,[2_3_4_5_6_8_9_11_13],[0],[1_7_10_12_14]
15,up up up up 自己 up 一下 ~,2,up up up up,,up,,,,,,,,,,2,5,1,[4_6],[0_1_2_3_5],[7]
16,up up up up up up 一下 自己 ~,1,up up up up up up,,,,,,,,,,,,2,6,1,[6_7],[0_1_2_3_4_5],[8]
17,这个 amazon 上 的 链接 ，,1,amazon,,,,,,,,,,,,4,1,1,[0_2_3_4],[1],[5]
18,价格 、 照片 、 联系 方式 ， 请 看 google docs 文件 ：,1,google docs,,,,,,,,,,,,7,2,4,[0_2_4_5_7_8_11],[9_10],[1_3_6_12]
19,nine west tote bag 全 新 $25,1,nine west tote bag,,,,,,,,,,,,2,4,1,[4_5],[0_1_2_3],[6]
20,hello ~ 下面 先 列 个 列表 ， 包括 物品 、 价格 、 赠品 。,1,hello,,,,,,,,,,,,9,1,5,[2_3_4_5_6_8_9_11_13],[0],[1_7_10_12_14]
21,blender ： 原价 $ 39.,1,blender,,,,,,,,,,,,1,1,3,[2],[0],[1_3_4]
22,tx-instrument financial instrument : actuarial exam fm/mle : 原价 84.,1,financial instrument : actuarial exam,,,,,,,,,,,,1,4,5,[8],[1_2_4_5],[0_3_6_7_9]
23,usp = sharing 有意 请 微 信 miranda_bud 注明 要 买 的 东西 谢谢,1,usp = sharing,,,,,,,,,,,,10,2,2,[3_4_5_6_8_9_10_11_12_13],[0_2],[1_7]
24,照片 请 看 下边 google drive 的 链接 ：,1,google drive,,,,,,,,,,,,6,2,1,[0_1_2_3_6_7],[4_5],[8]
25,出 闲置 ， 有 兴趣 请 email 联系,1,email,,,,,,,,,,,,6,1,1,[0_1_3_4_5_7],[6],[2]
26,车子 状况 非常 好 ， clean title ， 无 事故 ， 省心 省 油 。,1,clean title,,,,,,,,,,,,9,2,4,[0_1_2_3_8_9_11_12_13],[5_6],[4_7_10_14]
27,红色 ， 第一 任 车主 ， clean title ， 基本 配置 。,1,clean title,,,,,,,,,,,,6,2,4,[0_2_3_4_9_10],[6_7],[1_5_8_11]
28,tx-instrument financial instrument : actuarial exam fm/mle : 原价 84.,1,financial instrument : actuarial exam,,,,,,,,,,,,1,4,5,[8],[1_2_4_5],[0_3_6_7_9]
29,usp = sharing 有意 请 微 信 miranda_bud 注明 要 买 的 东西 谢谢,1,usp = sharing,,,,,,,,,,,,10,2,2,[3_4_5_6_8_9_10_11_12_13],[0_2],[1_7]
30,电梯 直达 [ url = ] [/url ],1,url,,,,,,,,,,,,2,1,5,[0_1],[3],[2_4_5_6_7]
31,king size king size king size 床,1,king size king size king size,,,,,,,,,,,,1,6,0,[6],[0_1_2_3_4_5],
32,queen size size size 床,1,queen size size size,,,,,,,,,,,,1,4,0,[4],[0_1_2_3],
33,一 张 work bench ;,1,work bench,,,,,,,,,,,,2,2,1,[0_1],[2_3],[4]
34,邮箱 wood em19,1,wood em19,,,,,,,,,,,,1,1,0,[0],[1_2],
35,楼 主 你 是 不 是 在 sq hill ？,1,sq hill,,,,,,,,,,,,7,2,1,[0_1_2_3_4_5_6],[7_8],[9]
36,车子 状况 非常 好 ， clean title ， 无 事故 ， 省心 省 油 。,1,clean title,,,,,,,,,,,,9,2,4,[0_1_2_3_8_9_11_12_13],[5_6],[4_7_10_14]
37,没有 任何 故障 ， 车辆 非常 省心 ， 非常 reliable 。,1,reliable,,,,,,,,,,,,7,1,3,[0_1_2_4_5_6_8],[9],[3_7_10]
38,大家 好 ， 我 是 匹 大学生 ， 希望 加入 一 个 手机 的 family plan 。,1,family plan,,,,,,,,,,,,12,2,3,[0_1_3_4_5_6_8_9_10_11_12_13],[14_15],[2_7_16]
39,cell : pn20 ( 电话 或 短信 均 可 ),1,cell : pn20,,,,,,,,,,,,5,1,3,[4_5_6_7_8],[0_2],[1_3_9]
40,cell : pn20 ( 电话 或 短信 均 可 ),1,cell : pn20,,,,,,,,,,,,5,1,3,[4_5_6_7_8],[0_2],[1_3_9]
41,clean title ， 随时 可 交 车,1,clean title,,,,,,,,,,,,4,2,1,[3_4_5_6],[0_1],[2]
42,微波炉 搬家 sale,1,sale,,,,,,,,,,,,2,1,0,[0_1],[2],
43,无线 激光 打印机 brother 牌子 可以 复印 ， 扫描 ！,1,brother,,,,,,,,,,,,7,1,2,[0_1_2_4_5_6_8],[3],[7_9]
44,有 兴趣 请 联系 rent em32,1,rent em32,,,,,,,,,,,,4,1,0,[0_1_2_3],[4_5],
45,使用 至今 没有 任何 事故 记录 ， clean title 。,1,clean title,,,,,,,,,,,,6,2,2,[0_1_2_3_4_5],[7_8],[6_9]
46,写 paper 写 作业 必备 。,1,paper,,,,,,,,,,,,4,1,1,[0_2_3_4],[1],[5]
47,有 兴趣 请 先 邮件 联系 rent em32,1,rent em32,,,,,,,,,,,,6,1,0,[0_1_2_3_4_5],[6_7],
48,豪华 suv 包车 往返 pit 机场 及 匹兹堡 市区,2,suv,,pit,,,,,,,,,,7,2,0,[0_2_3_5_6_7_8],[1_4],
49,豪华 suv 包车 往返 pit 机场 及 匹兹堡 市区,2,suv,,pit,,,,,,,,,,7,2,0,[0_2_3_5_6_7_8],[1_4],
50,联系 电话 ： pn26 email : em38,1,pn26 email : em38,,,,,,,,,,,,2,1,2,[0_1],[3_4_6],[2_5]
51,小 电风扇 已 出 ， 屏风 on hold,1,on hold,,,,,,,,,,,,5,2,1,[0_1_2_3_5],[6_7],[4]
52,hello 你 可以 直接 微 信 我 ， 我 发给 你 吗 ？,1,hello,,,,,,,,,,,,10,1,2,[1_2_3_4_5_6_8_9_10_11],[0],[7_12]
53,最好 在 north oakland,1,north oakland,,,,,,,,,,,,2,2,0,[0_1],[2_3],
54,本人 是 第三 任 车主 ， 前 两 位 车主 及 本人 均 在 奥迪 dealer 店 定期 保养 ， 车况 好 。,1,dealer,,,,,,,,,,,,19,1,3,[0_1_2_3_4_6_7_8_9_10_11_12_13_14_16_17_18_20_21],[15],[5_19_22]
55,联系 电话 ： pn26 email : em38,1,pn26 email : em38,,,,,,,,,,,,2,1,2,[0_1],[3_4_6],[2_5]
56,amazon fire tv stick ， 原价 $ 39.,1,amazon fire tv stick,,,,,,,,,,,,1,4,3,[5],[0_1_2_3],[4_6_7]
57,宜家 立柜 / 书柜 ( like new ) : $25 ( multiple available ),2,like new,,multiple available,,,,,,,,,,3,4,7,[0_1_3],[5_6_11_12],[2_4_7_8_9_10_13]
58,地址 ： frick park,1,frick park,,,,,,,,,,,,1,2,1,[0],[2_3],[1]
59,我 住 n craig st 。,1,n craig st,,,,,,,,,,,,2,3,1,[0_1],[2_3_4],[5]
60,以上 queen size 已 出 啦,1,queen size,,,,,,,,,,,,4,2,0,[0_3_4_5],[1_2],
61,本人 是 第三 任 车主 ， 前 两 位 车主 及 本人 均 在 奥迪 dealer 店 定期 保养 ， 车况 好 。,1,dealer,,,,,,,,,,,,19,1,3,[0_1_2_3_4_6_7_8_9_10_11_12_13_14_16_17_18_20_21],[15],[5_19_22]
62,求购 bread toaster 一 个 ！,1,bread toaster,,,,,,,,,,,,3,2,1,[0_3_4],[1_2],[5]
63,cloth horse 是 啥 啊 楼 主,1,cloth horse,,,,,,,,,,,,5,2,0,[2_3_4_5_6],[0_1],
64,可以 暂时 用 国内 的 驾照 开 ， 不过 最好 是 考 learner permit 。,1,learner permit,,,,,,,,,,,,11,2,2,[0_1_2_3_4_5_6_8_9_10_11],[12_13],[7_14]
65,平时 都 很 爱惜 车子 经常 保养 车主 不 吸烟 clean title 可 送 aux 线 手机 支架,2,clean title,,aux,,,,,,,,,,15,3,0,[0_1_2_3_4_5_6_7_8_9_12_13_15_16_17],[10_11_14],
66,因 relocate 需要 ， 出手 小车 ~,1,relocate,,,,,,,,,,,,4,1,2,[0_2_4_5],[1],[3_6]
67,自动 挡 （ 手 自 一体 ） 两 门 蓝 （ 灰 ） 色 coupe ， 2.,1,coupe,,,,,,,,,,,,10,1,6,[0_1_3_4_5_7_8_9_11_13],[14],[2_6_10_12_15_16]
68,全新 gre og$20,1,gre,,,,,,,,,,,,1,1,1,[0],[1],[2]
69,物品 condition 大部分 excellent to like new .,2,condition,,excellent to like new,,,,,,,,,,2,5,1,[0_2],[1_3_4_5_6],[7]
70,带 三 档 fan control ，,1,fan control,,,,,,,,,,,,3,2,1,[0_1_2],[3_4],[5]
71,front ， top ， bottom 都 有 dust filter ，,2,front ， top ， bottom,,dust filter,,,,,,,,,,2,5,3,[5_6],[0_2_4_7_8],[1_3_9]
72,出售 二手 full size 床 ！,1,full size,,,,,,,,,,,,3,2,1,[0_1_4],[2_3],[5]
73,对 您 的 tv stand 感兴趣 ， 请 提供 联系 方式 ， 我 的 联系 电话 pn34 （ 杨 ） ， 谢谢 ！,2,tv stand,,pn34,,,,,,,,,,14,2,6,[0_1_2_5_7_8_9_10_12_13_14_15_18_21],[3_4_16],[6_11_17_19_20_22]
74,包含 ： 电 吉他 ， 音箱 ， cable ， 输入 3.,1,cable,,,,,,,,,,,,5,1,5,[0_2_3_5_9],[7],[1_4_6_8_10]
75,具体 的 信息 也 可以 参考 amazon 的 页面 或者 短信 我 。,1,amazon,,,,,,,,,,,,11,1,1,[0_1_2_3_4_5_7_8_9_10_11],[6],[12]
76,十 分钟 可 达 买 吃 一 条 街 - walnut street 。,1,walnut street,,,,,,,,,,,,9,2,2,[0_1_2_3_4_5_6_7_8],[10_11],[9_12]
77,这 是 amazon 的 link,2,amazon,,link,,,,,,,,,,3,2,0,[0_1_3],[2_4],
78,png 回国 转让 家具 ：,1,png,,,,,,,,,,,,3,1,1,[1_2_3],[0],[4]
79,小区 环境 非常 幽静 ： 有 多 处 playground 和 公园 ， 很 适合 有 孩子 （ 和 老人 ） 的 家庭 在,1,playground,,,,,,,,,,,,18,1,4,[0_1_2_3_5_6_7_9_10_12_13_14_15_17_18_20_21_22],[8],[4_11_16_19]
80,今天 刚 做 的 inspection ， 去年 做 过 alignment ， 轮胎 刚 用 一 年 多 ， 很 新 。,2,inspection,,alignment,,,,,,,,,,15,2,4,[0_1_2_3_6_7_8_11_12_13_14_15_16_18_19],[4_9],[5_10_17_20]
81,正值 壮年 ， 因为 是 timing chain 所以 不用 担心 timing belt 问题 。,2,timing chain,,timing belt,,,,,,,,,,8,4,2,[0_1_3_4_7_8_9_12],[5_6_10_11],[2_13]
82,家具 都 是 宜家 或者 amazon 上 购买 的 ， 使用 了 不到 一 年 。,1,amazon,,,,,,,,,,,,13,1,2,[0_1_2_3_4_6_7_8_10_11_12_13_14],[5],[9_15]
83,amazon 上 marcy 健身 椅$15,2,amazon,,marcy,,,,,,,,,,2,2,1,[1_3],[0_2],[4]
84,ask for$19500 （ 可 小刀 ）,1,ask,,,,,,,,,,,,2,1,3,[3_4],[0],[1_2_5]
85,系统 及 功能 就 不用 说 了 ， 用 mac 的 都 知道 。,1,mac,,,,,,,,,,,,11,1,2,[0_1_2_3_4_5_6_8_10_11_12],[9],[7_13]
86,就 在 south oakland 随时 看 车 ， pn47 。,2,south oakland,,pn47,,,,,,,,,,5,2,2,[0_1_4_5_6],[2_3_8],[7_9]
87,【 物业 】 ： meyers management 公司 ， 物业 反应 迅速,1,meyers management,,,,,,,,,,,,5,2,4,[1_6_8_9_10],[4_5],[0_2_3_7]
88,盒子 里 本身 两 个 游戏 ， 再 多 送 两 个 游戏 ， 很 适合 party 的 时候 大家 一起 玩 。,1,party,,,,,,,,,,,,19,1,3,[0_1_2_3_4_5_7_8_9_10_11_12_14_15_17_18_19_20_21],[16],[6_13_22]
89,小朋友 不到 一 岁 就 换 了 convertible car seat ， 这个 在家 闲置 了 几 个 月 了 。,1,convertible car seat,,,,,,,,,,,,15,3,2,[0_1_2_3_4_5_6_11_12_13_14_15_16_17_18],[7_8_9],[10_19]
90,king size 的,1,king size,,,,,,,,,,,,1,2,0,[2],[0_1],
91,clean title ， 从未 有 过 任何 事故 ， 车况 良好 ， 性能 稳定 ， 并 有 其他 附件 赠送 。,1,clean title,,,,,,,,,,,,14,2,5,[3_4_5_6_7_9_10_12_13_15_16_17_18_19],[0_1],[2_8_11_14_20]
92,两 个 car seater 都 出 了 ， 谢谢 关注 ！,1,car seater,,,,,,,,,,,,7,2,2,[0_1_4_5_6_8_9],[2_3],[7_10]
93,room essentials 风扇 。,1,room essentials,,,,,,,,,,,,1,2,1,[2],[0_1],[3]
94,modem 和 wireless router 套餐 。,2,modem,,wireless router,,,,,,,,,,2,3,1,[1_4],[0_2_3],[5]
95,my brest friend 喂奶 枕 。,1,my brest friend,,,,,,,,,,,,2,3,1,[3_4],[0_1_2],[5]
96,联系 方式 ： pn38 ( text ),1,pn38 ( text,,,,,,,,,,,,2,1,3,[0_1],[3_5],[2_4_6]
97,发动机 强劲 smooth ， 驾驶 舒适 ， 视线 好 ， 跑 长途 毫无 问题 。,1,smooth,,,,,,,,,,,,10,1,4,[0_1_4_5_7_8_10_11_12_13],[2],[3_6_9_14]
98,型号 ： hamilton beach 331414-quart .,1,hamilton beach,,,,,,,,,,,,1,2,3,[0],[2_3],[1_4_5]
99,amazon 链接 ( 原价 $ 19.,1,amazon,,,,,,,,,,,,2,1,3,[1_3],[0],[2_4_5]
100,转让 玻璃 茶几 ， 包括 一 个 coffee table 和 两 个 side tables 。,2,coffee table,,side tables,,,,,,,,,,9,4,2,[0_1_2_4_5_6_9_10_11],[7_8_12_13],[3_14]
101,一 个 night stand ， 一 个 小 书桌 免费 赠送 。,1,night stand,,,,,,,,,,,,8,2,2,[0_1_5_6_7_8_9_10],[2_3],[4_11]
102,联系 方式 ： email : sum em37,1,email : sum em37,,,,,,,,,,,,2,2,2,[0_1],[3_5_6],[2_4]
103,我 刚刚 仔细 看 了 一下 空调 的 介绍 ， 这个 空调 好像 不 适合 standard window ， 如果 给 大家 造成 误导 ， 十分 抱歉 。,1,standard window,,,,,,,,,,,,21,2,4,[0_1_2_3_4_5_6_7_8_10_11_12_13_14_18_19_20_21_22_24_25],[15_16],[9_17_23_26]
104,地址 ： near frick park,1,near frick park,,,,,,,,,,,,1,3,1,[0],[2_3_4],[1]
105,thx 已 出,1,thx,,,,,,,,,,,,2,1,0,[1_2],[0],
106,利用 closet 下方 空间 的 整理 架 免费,1,closet,,,,,,,,,,,,7,1,0,[0_2_3_4_5_6_7],[1],
107,地址 在 frick park 附近 。,1,frick park,,,,,,,,,,,,3,2,1,[0_1_4],[2_3],[5]
108,或者 请 查看 word 附件 ～,1,word,,,,,,,,,,,,4,1,1,[0_1_2_4],[3],[5]
109,（ 坐标 ： south oakland ， 联系 方式 ： em98,2,south oakland,,em98,,,,,,,,,,3,2,4,[1_6_7],[3_4_9],[0_2_5_8]
110,每 三千 迈 用 最 好 的 mobil-1 synthetic oil 细心 保养,1,synthetic oil,,,,,,,,,,,,9,2,1,[0_1_2_3_4_5_6_10_11],[8_9],[7]
111,仅 后面 bumper 和 左 后 车门 有 少许 dents,2,bumper,,dents,,,,,,,,,,8,2,0,[0_1_3_4_5_6_7_8],[2_9],
112,坐标 ： squirrel hill .,1,squirrel hill,,,,,,,,,,,,1,2,2,[0],[2_3],[1_4]
113,免费 的 桌子 ， baby seat ， high chair ， queen size mattress and box .,1,baby seat ， high chair ， queen size mattress and box,,,,,,,,,,,,3,9,4,[0_1_2],[4_5_7_8_10_11_12_13_14],[3_6_9_15]
114,usp = sharing 链接 会 不断 更新 ， 拿 家具 时间 比较 随意,1,usp = sharing,,,,,,,,,,,,9,2,2,[3_4_5_6_8_9_10_11_12],[0_2],[1_7]
115,八月 初 到 匹兹堡 ， 需要 一 张 queen size 的 床 ， 桌子 ， 椅子 各 种 家具,1,queen size,,,,,,,,,,,,14,2,3,[0_1_2_3_5_6_7_10_11_13_15_16_17_18],[8_9],[4_12_14]
116,利用 closet 下方 空间 的 整理 架 免费,1,closet,,,,,,,,,,,,7,1,0,[0_2_3_4_5_6_7],[1],
117,我 的 地址 在 fifth ave and aiken ave 附近 。,1,fifth ave and aiken ave,,,,,,,,,,,,5,5,1,[0_1_2_3_9],[4_5_6_7_8],[10]
118,有 兴趣 的 朋友 请 联系 [ url = mailtoynch.,1,url,,,,,,,,,,,,6,1,3,[0_1_2_3_4_5],[7],[6_8_9]
119,打印机 为 brother hl-2270 dw ， 状态 良好,1,brother hl-2270 dw,,,,,,,,,,,,4,2,2,[0_1_6_7],[2_4],[3_5]
120,东西 在 north oakland,1,north oakland,,,,,,,,,,,,2,2,0,[0_1],[2_3],
121,地点 位于 s highland ave 和 elwood st 交界,2,s highland ave,,elwood st,,,,,,,,,,4,5,0,[0_1_5_8],[2_3_4_6_7],
122,你 转账 后 ， 我 给 你 完整 的 report .,1,report,,,,,,,,,,,,8,1,2,[0_1_2_4_5_6_7_8],[9],[3_10]
123,queen size 睡 两 人 很 宽敞 ， 舒服 ！,1,queen size,,,,,,,,,,,,6,2,2,[2_3_4_5_6_8],[0_1],[7_9]
124,微波炉 ， danby 0.,1,danby,,,,,,,,,,,,1,1,2,[0],[2],[1_3]
125,人 在 centre giant eagle 附近 ~,1,centre giant eagle,,,,,,,,,,,,3,3,1,[0_1_5],[2_3_4],[6]
126,求购 window machine,1,window machine,,,,,,,,,,,,1,2,0,[0],[1_2],
127,白板 [ size = 14.,1,size,,,,,,,,,,,,1,1,3,[0],[2],[1_3_4]
128,可以 支撑 起来 看 视频 的 case,1,case,,,,,,,,,,,,6,1,0,[0_1_2_3_4_5],[6],
129,[ quote ] ff_li 发表 于 2016-5-412:20,1,quote,,,,,,,,,,,,2,1,4,[4_5],[1],[0_2_3_6]
130,有 兴趣 邮件 betty em131,1,betty em131,,,,,,,,,,,,3,1,0,[0_1_2],[3_4],
131,验证 码 [ url = ] 换 一 个 [/url ],1,url,,,,,,,,,,,,5,1,5,[0_1_6_7_8],[3],[2_4_5_9_10]
132,dish dryer : 有 专门 可以 放 筷子 的 地方 。,1,dish dryer,,,,,,,,,,,,7,2,2,[3_4_5_6_7_8_9],[0_1],[2_10]
133,或 发 邮件 到 ： cap em138,1,cap em138,,,,,,,,,,,,4,1,1,[0_1_2_3],[5_6],[4]
134,所有 保养 ， inspection ， 换 轮胎 全 都 是 在 奔驰 dealer 做 的 。,2,inspection,,dealer,,,,,,,,,,11,2,3,[0_1_5_6_7_8_9_10_11_13_14],[3_12],[2_4_15]
135,半 年 前 换 了 四 个 break rotors ， 和 两 个 front breaks ，,2,break rotors,,front breaks,,,,,,,,,,10,4,2,[0_1_2_3_4_5_6_10_11_12],[7_8_13_14],[9_15]
136,最好 在 centre ， market district giant eagle 附近 。,1,centre ， market district giant eagle,,,,,,,,,,,,3,5,2,[0_1_8],[2_4_5_6_7],[3_9]
137,需要 自己 来 pick up ， 谢谢 ！,1,pick up,,,,,,,,,,,,4,2,2,[0_1_2_6],[3_4],[5_7]
138,回国 出 高端 音响 beats by dr.,1,beats by,,,,,,,,,,,,4,2,1,[0_1_2_3],[4_5],[6]
139,电话 ： 412-六五二－6177 （ 最好 message ）,1,message,,,,,,,,,,,,2,1,4,[0_4],[5],[1_2_3_6]
140,顶上 的 mic 不 能 调节 方向 ， 但是 对 录音 效果 并 无 影响 ，,1,mic,,,,,,,,,,,,13,1,2,[0_1_3_4_5_6_8_9_10_11_12_13_14],[2],[7_15]
141,一 个 厚 被子 ， queen size 。,1,queen size,,,,,,,,,,,,4,2,2,[0_1_2_3],[5_6],[4_7]
142,搅拌机 ， $5--- sold,1,sold,,,,,,,,,,,,1,1,2,[0],[3],[1_2]
