"Worker ID","Link to Individual Worker Page","Number of HITs approved or rejected - Lifetime","Number of HITs approved - Lifetime","Your Lifetime approval rate","Number of HITs approved or rejected - Last 30 days","Number of HITs approved - Last 30 days","Your Last 30 days approval rate","Number of HITs approved or rejected - Last 7 days","Number of HITs approved - Last 7 days","Your Last 7 days approval rate","CURRENT-worker","UPDATE-worker","CURRENT-set_9","UPDATE-set_9","CURRENT-set_8","UPDATE-set_8","CURRENT-set_7","UPDATE-set_7","CURRENT-set_6","UPDATE-set_6","CURRENT-set_5","UPDATE-set_5","CURRENT-set_4","UPDATE-set_4","CURRENT-set_3","UPDATE-set_3","CURRENT-set_24","UPDATE-set_24","CURRENT-set_23","UPDATE-set_23","CURRENT-set_22","UPDATE-set_22","CURRENT-set_21","UPDATE-set_21","CURRENT-set_20","UPDATE-set_20","CURRENT-set_2","UPDATE-set_2","CURRENT-set_19","UPDATE-set_19","CURRENT-set_18","UPDATE-set_18","CURRENT-set_17","UPDATE-set_17","CURRENT-set_16","UPDATE-set_16","CURRENT-set_15","UPDATE-set_15","CURRENT-set_14","UPDATE-set_14","CURRENT-set_13","UPDATE-set_13","CURRENT-set_12","UPDATE-set_12","CURRENT-set_11","UPDATE-set_11","CURRENT-set_10","UPDATE-set_10","CURRENT-set_1","UPDATE-set_1","CURRENT-set_0","UPDATE-set_0","CURRENT BlockStatus","UPDATE BlockStatus","BlockReason"
"A119XB4OETWU59","https://requester.mturk.com/workers/A119XB4OETWU59","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A11DIVCBTYFDV4","https://requester.mturk.com/workers/A11DIVCBTYFDV4","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A11DMDES6H8XDK","https://requester.mturk.com/workers/A11DMDES6H8XDK","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A11SJII03WX2Q0","https://requester.mturk.com/workers/A11SJII03WX2Q0","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A11SWVGXLZCTQF","https://requester.mturk.com/workers/A11SWVGXLZCTQF","2","1","50.00%","2","1","50.00%","1","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A12E78UO74F1VV","https://requester.mturk.com/workers/A12E78UO74F1VV","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A12V2IEWROX7ZQ","https://requester.mturk.com/workers/A12V2IEWROX7ZQ","3","3","100.00%","3","3","100.00%","2","2","100.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A12VVC5C5Y53VZ","https://requester.mturk.com/workers/A12VVC5C5Y53VZ","1","1","100.00%","1","1","100.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unblocked","",""
"A13CLN8L5HFT46","https://requester.mturk.com/workers/A13CLN8L5HFT46","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A13O7MR3K9JTC4","https://requester.mturk.com/workers/A13O7MR3K9JTC4","1","1","100.00%","1","1","100.00%","0","0","0.00%","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A140XN7L1R36F3","https://requester.mturk.com/workers/A140XN7L1R36F3","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A14307ETZEG3A8","https://requester.mturk.com/workers/A14307ETZEG3A8","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A14N7TK3CEQVAE","https://requester.mturk.com/workers/A14N7TK3CEQVAE","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A14R4R8CKF1U4R","https://requester.mturk.com/workers/A14R4R8CKF1U4R","1","1","100.00%","1","1","100.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unblocked","",""
"A15YV1SQ5GJGP9","https://requester.mturk.com/workers/A15YV1SQ5GJGP9","1","1","100.00%","1","1","100.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unblocked","",""
"A16JMJHOUC2MGE","https://requester.mturk.com/workers/A16JMJHOUC2MGE","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A16XI3JQN3EWLZ","https://requester.mturk.com/workers/A16XI3JQN3EWLZ","1","1","100.00%","1","1","100.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unblocked","",""
"A16ZXNUKUPMH4","https://requester.mturk.com/workers/A16ZXNUKUPMH4","1","1","100.00%","1","1","100.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unblocked","",""
"A171ARPSKRJB93","https://requester.mturk.com/workers/A171ARPSKRJB93","1","1","100.00%","1","1","100.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unblocked","",""
"A17U9QHSXQACH4","https://requester.mturk.com/workers/A17U9QHSXQACH4","1","1","100.00%","1","1","100.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unblocked","",""
"A17VD2A6755FFG","https://requester.mturk.com/workers/A17VD2A6755FFG","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A182N7RLXGSCZG","https://requester.mturk.com/workers/A182N7RLXGSCZG","3","2","66.67%","3","2","66.67%","2","1","50.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A18EQ7DSCEEXLR","https://requester.mturk.com/workers/A18EQ7DSCEEXLR","1","1","100.00%","1","1","100.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unblocked","",""
"A18FWUMVW5APB0","https://requester.mturk.com/workers/A18FWUMVW5APB0","1","1","100.00%","1","1","100.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unblocked","",""
"A18HKVZLIAQCWE","https://requester.mturk.com/workers/A18HKVZLIAQCWE","1","1","100.00%","1","1","100.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unblocked","",""
"A18WFPSLFV4FKY","https://requester.mturk.com/workers/A18WFPSLFV4FKY","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A194DAP95EE1OY","https://requester.mturk.com/workers/A194DAP95EE1OY","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A19HCBT1EH8484","https://requester.mturk.com/workers/A19HCBT1EH8484","1","1","100.00%","1","1","100.00%","0","0","0.00%","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1A1ZXUVSV4YR8","https://requester.mturk.com/workers/A1A1ZXUVSV4YR8","1","1","100.00%","1","1","100.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unblocked","",""
"A1BDH3O29OKARK","https://requester.mturk.com/workers/A1BDH3O29OKARK","1","1","100.00%","1","1","100.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unblocked","",""
"A1BF1W2XN5BWFQ","https://requester.mturk.com/workers/A1BF1W2XN5BWFQ","1","1","100.00%","1","1","100.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unblocked","",""
"A1BQKP971LFCYL","https://requester.mturk.com/workers/A1BQKP971LFCYL","1","1","100.00%","1","1","100.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unblocked","",""
"A1BTS5I89BDTX3","https://requester.mturk.com/workers/A1BTS5I89BDTX3","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1CJQ1MCXPRR2L","https://requester.mturk.com/workers/A1CJQ1MCXPRR2L","1","1","100.00%","1","1","100.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unblocked","",""
"A1DCC7NDRUZZ6W","https://requester.mturk.com/workers/A1DCC7NDRUZZ6W","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1DXYZ9EW2R6DT","https://requester.mturk.com/workers/A1DXYZ9EW2R6DT","1","1","100.00%","1","1","100.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unblocked","",""
"A1E8PIR82KIJEP","https://requester.mturk.com/workers/A1E8PIR82KIJEP","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1EK8YNHZHTW1J","https://requester.mturk.com/workers/A1EK8YNHZHTW1J","1","1","100.00%","1","1","100.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unblocked","",""
"A1G43CWUW76IXU","https://requester.mturk.com/workers/A1G43CWUW76IXU","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1G7BBC1DT0YZ6","https://requester.mturk.com/workers/A1G7BBC1DT0YZ6","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1GPGAMK4T49TW","https://requester.mturk.com/workers/A1GPGAMK4T49TW","1","1","100.00%","1","1","100.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unblocked","",""
"A1IAMFWEE5O3RG","https://requester.mturk.com/workers/A1IAMFWEE5O3RG","1","1","100.00%","1","1","100.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unblocked","",""
"A1J313G71CD52Z","https://requester.mturk.com/workers/A1J313G71CD52Z","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1JGZD9FUDYJ30","https://requester.mturk.com/workers/A1JGZD9FUDYJ30","1","1","100.00%","1","1","100.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unblocked","",""
"A1JKXJ8OSXAZLM","https://requester.mturk.com/workers/A1JKXJ8OSXAZLM","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1K1YOUOJ2P57H","https://requester.mturk.com/workers/A1K1YOUOJ2P57H","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1KHD0O007P9DO","https://requester.mturk.com/workers/A1KHD0O007P9DO","1","1","100.00%","1","1","100.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unblocked","",""
"A1KVE1E8ZON2F7","https://requester.mturk.com/workers/A1KVE1E8ZON2F7","1","1","100.00%","1","1","100.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unblocked","",""
"A1L1S0IAPZB4MO","https://requester.mturk.com/workers/A1L1S0IAPZB4MO","1","1","100.00%","1","1","100.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unblocked","",""
"A1LTTRLF76BM82","https://requester.mturk.com/workers/A1LTTRLF76BM82","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1M2QISNG1O7K8","https://requester.mturk.com/workers/A1M2QISNG1O7K8","1","1","100.00%","1","1","100.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1M52J1BIO1O2V","https://requester.mturk.com/workers/A1M52J1BIO1O2V","1","1","100.00%","1","1","100.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unblocked","",""
"A1MGYU8MBQSFKS","https://requester.mturk.com/workers/A1MGYU8MBQSFKS","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1MWYS9YMR5MGQ","https://requester.mturk.com/workers/A1MWYS9YMR5MGQ","1","1","100.00%","1","1","100.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unblocked","",""
"A1NZ4BJK085UI7","https://requester.mturk.com/workers/A1NZ4BJK085UI7","1","1","100.00%","1","1","100.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unblocked","",""
"A1O4AAQX2KCD3N","https://requester.mturk.com/workers/A1O4AAQX2KCD3N","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1O6NAOVMJ1XVC","https://requester.mturk.com/workers/A1O6NAOVMJ1XVC","1","1","100.00%","1","1","100.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unblocked","",""
"A1ODFH3XNVEVZ1","https://requester.mturk.com/workers/A1ODFH3XNVEVZ1","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1OJ8IJAEIWL9T","https://requester.mturk.com/workers/A1OJ8IJAEIWL9T","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1OUX27FOYXKZ9","https://requester.mturk.com/workers/A1OUX27FOYXKZ9","1","1","100.00%","1","1","100.00%","1","1","100.00%","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1P0SZ4C7PLX7K","https://requester.mturk.com/workers/A1P0SZ4C7PLX7K","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1PFJ5ACN1S55A","https://requester.mturk.com/workers/A1PFJ5ACN1S55A","1","1","100.00%","1","1","100.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unblocked","",""
"A1PNDILZWOX425","https://requester.mturk.com/workers/A1PNDILZWOX425","1","1","100.00%","1","1","100.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1POBG27PTO9DX","https://requester.mturk.com/workers/A1POBG27PTO9DX","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1PZAF4E3K4PQ3","https://requester.mturk.com/workers/A1PZAF4E3K4PQ3","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1QDQU3TJHQYAU","https://requester.mturk.com/workers/A1QDQU3TJHQYAU","1","1","100.00%","1","1","100.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unblocked","",""
"A1R2GKP9RVX5SA","https://requester.mturk.com/workers/A1R2GKP9RVX5SA","1","1","100.00%","1","1","100.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unblocked","",""
"A1RGKDDAQN68NO","https://requester.mturk.com/workers/A1RGKDDAQN68NO","1","1","100.00%","1","1","100.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unblocked","",""
"A1RK4PGIIJGBQN","https://requester.mturk.com/workers/A1RK4PGIIJGBQN","1","1","100.00%","1","1","100.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unblocked","",""
"A1RQ5U07YUVUFF","https://requester.mturk.com/workers/A1RQ5U07YUVUFF","1","1","100.00%","1","1","100.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unblocked","",""
"A1RV1XCSULL4DK","https://requester.mturk.com/workers/A1RV1XCSULL4DK","1","1","100.00%","1","1","100.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unblocked","",""
"A1SX9GLTEPQ25T","https://requester.mturk.com/workers/A1SX9GLTEPQ25T","1","1","100.00%","1","1","100.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unblocked","",""
"A1T6C48OUKTCGC","https://requester.mturk.com/workers/A1T6C48OUKTCGC","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1TB704LFMMB4R","https://requester.mturk.com/workers/A1TB704LFMMB4R","1","1","100.00%","1","1","100.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unblocked","",""
"A1TW60NCALLP12","https://requester.mturk.com/workers/A1TW60NCALLP12","1","1","100.00%","1","1","100.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unblocked","",""
"A1WAWEY2810TFN","https://requester.mturk.com/workers/A1WAWEY2810TFN","1","1","100.00%","1","1","100.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unblocked","",""
"A1X576NYQGAOFT","https://requester.mturk.com/workers/A1X576NYQGAOFT","1","1","100.00%","1","1","100.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unblocked","",""
"A1X5U8WTTXMS87","https://requester.mturk.com/workers/A1X5U8WTTXMS87","1","1","100.00%","1","1","100.00%","0","0","0.00%","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1XARUPXWKL2KY","https://requester.mturk.com/workers/A1XARUPXWKL2KY","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1XE81PDQ4YPE","https://requester.mturk.com/workers/A1XE81PDQ4YPE","1","1","100.00%","1","1","100.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unblocked","",""
"A1ZJFIWRYOIZ4G","https://requester.mturk.com/workers/A1ZJFIWRYOIZ4G","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1ZSKDWK3U7KKR","https://requester.mturk.com/workers/A1ZSKDWK3U7KKR","1","1","100.00%","1","1","100.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unblocked","",""
"A20MHE48O1SO56","https://requester.mturk.com/workers/A20MHE48O1SO56","1","1","100.00%","1","1","100.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unblocked","",""
"A20QXCW2IQ1JTI","https://requester.mturk.com/workers/A20QXCW2IQ1JTI","1","1","100.00%","1","1","100.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unblocked","",""
"A211PFB7AXZMPE","https://requester.mturk.com/workers/A211PFB7AXZMPE","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A218NU5B90J6CJ","https://requester.mturk.com/workers/A218NU5B90J6CJ","1","1","100.00%","1","1","100.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unblocked","",""
"A21BGF9L7LYD93","https://requester.mturk.com/workers/A21BGF9L7LYD93","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A22KNHLEDEI42N","https://requester.mturk.com/workers/A22KNHLEDEI42N","1","1","100.00%","1","1","100.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unblocked","",""
"A22MSGVDN6N18K","https://requester.mturk.com/workers/A22MSGVDN6N18K","1","1","100.00%","1","1","100.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unblocked","",""
"A22PI3R7TAKVVA","https://requester.mturk.com/workers/A22PI3R7TAKVVA","1","1","100.00%","1","1","100.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unblocked","",""
"A23NESSAWIXYA5","https://requester.mturk.com/workers/A23NESSAWIXYA5","1","1","100.00%","1","1","100.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unblocked","",""
