"Worker ID","Link to Individual Worker Page","Number of HITs approved or rejected - Lifetime","Number of HITs approved - Lifetime","Your Lifetime approval rate","Number of HITs approved or rejected - Last 30 days","Number of HITs approved - Last 30 days","Your Last 30 days approval rate","Number of HITs approved or rejected - Last 7 days","Number of HITs approved - Last 7 days","Your Last 7 days approval rate","CURRENT-set_9","UPDATE-set_9","CURRENT-set_8","UPDATE-set_8","CURRENT-set_7","UPDATE-set_7","CURRENT-set_6","UPDATE-set_6","CURRENT-set_5","UPDATE-set_5","CURRENT-set_4","UPDATE-set_4","CURRENT-set_34","UPDATE-set_34","CURRENT-set_33","UPDATE-set_33","CURRENT-set_32","UPDATE-set_32","CURRENT-set_31","UPDATE-set_31","CURRENT-set_30","UPDATE-set_30","CURRENT-set_3","UPDATE-set_3","CURRENT-set_29","UPDATE-set_29","CURRENT-set_28","UPDATE-set_28","CURRENT-set_27","UPDATE-set_27","CURRENT-set_26","UPDATE-set_26","CURRENT-set_25","UPDATE-set_25","CURRENT-set_24","UPDATE-set_24","CURRENT-set_23","UPDATE-set_23","CURRENT-set_22","UPDATE-set_22","CURRENT-set_21","UPDATE-set_21","CURRENT-set_20","UPDATE-set_20","CURRENT-set_2","UPDATE-set_2","CURRENT-set_19","UPDATE-set_19","CURRENT-set_18","UPDATE-set_18","CURRENT-set_17","UPDATE-set_17","CURRENT-set_16","UPDATE-set_16","CURRENT-set_15","UPDATE-set_15","CURRENT-set_14","UPDATE-set_14","CURRENT-set_13","UPDATE-set_13","CURRENT-set_12","UPDATE-set_12","CURRENT-set_11","UPDATE-set_11","CURRENT-set_10","UPDATE-set_10","CURRENT-set_1","UPDATE-set_1","CURRENT-set_0","UPDATE-set_0","CURRENT-non_selected_workers","UPDATE-non_selected_workers","CURRENT BlockStatus","UPDATE BlockStatus","BlockReason"
"A12VVC5C5Y53VZ","https://requester.mturk.com/workers/A12VVC5C5Y53VZ","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Blocked","Block","Do not meet the qualification for follow-up tasks. The worker will be unblocked after the follow-up tasks end."
"A14R4R8CKF1U4R","https://requester.mturk.com/workers/A14R4R8CKF1U4R","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Blocked","Block","Do not meet the qualification for follow-up tasks. The worker will be unblocked after the follow-up tasks end."
"A15YV1SQ5GJGP9","https://requester.mturk.com/workers/A15YV1SQ5GJGP9","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Blocked","Block","Do not meet the qualification for follow-up tasks. The worker will be unblocked after the follow-up tasks end."
"A16XI3JQN3EWLZ","https://requester.mturk.com/workers/A16XI3JQN3EWLZ","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Blocked","Block","Do not meet the qualification for follow-up tasks. The worker will be unblocked after the follow-up tasks end."
"A16ZXNUKUPMH4","https://requester.mturk.com/workers/A16ZXNUKUPMH4","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Blocked","Block","Do not meet the qualification for follow-up tasks. The worker will be unblocked after the follow-up tasks end."
"A171ARPSKRJB93","https://requester.mturk.com/workers/A171ARPSKRJB93","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Blocked","Block","Do not meet the qualification for follow-up tasks. The worker will be unblocked after the follow-up tasks end."
"A17U9QHSXQACH4","https://requester.mturk.com/workers/A17U9QHSXQACH4","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Blocked","Block","Do not meet the qualification for follow-up tasks. The worker will be unblocked after the follow-up tasks end."
"A18EQ7DSCEEXLR","https://requester.mturk.com/workers/A18EQ7DSCEEXLR","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Blocked","Block","Do not meet the qualification for follow-up tasks. The worker will be unblocked after the follow-up tasks end."
"A18FWUMVW5APB0","https://requester.mturk.com/workers/A18FWUMVW5APB0","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Blocked","Block","Do not meet the qualification for follow-up tasks. The worker will be unblocked after the follow-up tasks end."
"A18HKVZLIAQCWE","https://requester.mturk.com/workers/A18HKVZLIAQCWE","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Blocked","Block","Do not meet the qualification for follow-up tasks. The worker will be unblocked after the follow-up tasks end."
"A1A1ZXUVSV4YR8","https://requester.mturk.com/workers/A1A1ZXUVSV4YR8","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Blocked","Block","Do not meet the qualification for follow-up tasks. The worker will be unblocked after the follow-up tasks end."
"A1BDH3O29OKARK","https://requester.mturk.com/workers/A1BDH3O29OKARK","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Blocked","Block","Do not meet the qualification for follow-up tasks. The worker will be unblocked after the follow-up tasks end."
"A1BF1W2XN5BWFQ","https://requester.mturk.com/workers/A1BF1W2XN5BWFQ","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Blocked","Block","Do not meet the qualification for follow-up tasks. The worker will be unblocked after the follow-up tasks end."
"A1BQKP971LFCYL","https://requester.mturk.com/workers/A1BQKP971LFCYL","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Blocked","Block","Do not meet the qualification for follow-up tasks. The worker will be unblocked after the follow-up tasks end."
"A1CJQ1MCXPRR2L","https://requester.mturk.com/workers/A1CJQ1MCXPRR2L","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Blocked","Block","Do not meet the qualification for follow-up tasks. The worker will be unblocked after the follow-up tasks end."
"A1DXYZ9EW2R6DT","https://requester.mturk.com/workers/A1DXYZ9EW2R6DT","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Blocked","Block","Do not meet the qualification for follow-up tasks. The worker will be unblocked after the follow-up tasks end."
"A1EK8YNHZHTW1J","https://requester.mturk.com/workers/A1EK8YNHZHTW1J","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Blocked","Block","Do not meet the qualification for follow-up tasks. The worker will be unblocked after the follow-up tasks end."
"A1GPGAMK4T49TW","https://requester.mturk.com/workers/A1GPGAMK4T49TW","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Blocked","Block","Do not meet the qualification for follow-up tasks. The worker will be unblocked after the follow-up tasks end."
"A1IAMFWEE5O3RG","https://requester.mturk.com/workers/A1IAMFWEE5O3RG","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Blocked","Block","Do not meet the qualification for follow-up tasks. The worker will be unblocked after the follow-up tasks end."
"A1JGZD9FUDYJ30","https://requester.mturk.com/workers/A1JGZD9FUDYJ30","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Blocked","Block","Do not meet the qualification for follow-up tasks. The worker will be unblocked after the follow-up tasks end."
"A1KHD0O007P9DO","https://requester.mturk.com/workers/A1KHD0O007P9DO","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Blocked","Block","Do not meet the qualification for follow-up tasks. The worker will be unblocked after the follow-up tasks end."
"A1KVE1E8ZON2F7","https://requester.mturk.com/workers/A1KVE1E8ZON2F7","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Blocked","Block","Do not meet the qualification for follow-up tasks. The worker will be unblocked after the follow-up tasks end."
"A1L1S0IAPZB4MO","https://requester.mturk.com/workers/A1L1S0IAPZB4MO","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Blocked","Block","Do not meet the qualification for follow-up tasks. The worker will be unblocked after the follow-up tasks end."
"A1M52J1BIO1O2V","https://requester.mturk.com/workers/A1M52J1BIO1O2V","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Blocked","Block","Do not meet the qualification for follow-up tasks. The worker will be unblocked after the follow-up tasks end."
"A1MWYS9YMR5MGQ","https://requester.mturk.com/workers/A1MWYS9YMR5MGQ","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Blocked","Block","Do not meet the qualification for follow-up tasks. The worker will be unblocked after the follow-up tasks end."
"A1NZ4BJK085UI7","https://requester.mturk.com/workers/A1NZ4BJK085UI7","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Blocked","Block","Do not meet the qualification for follow-up tasks. The worker will be unblocked after the follow-up tasks end."
"A1O6NAOVMJ1XVC","https://requester.mturk.com/workers/A1O6NAOVMJ1XVC","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Blocked","Block","Do not meet the qualification for follow-up tasks. The worker will be unblocked after the follow-up tasks end."
"A1PFJ5ACN1S55A","https://requester.mturk.com/workers/A1PFJ5ACN1S55A","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Blocked","Block","Do not meet the qualification for follow-up tasks. The worker will be unblocked after the follow-up tasks end."
"A1QDQU3TJHQYAU","https://requester.mturk.com/workers/A1QDQU3TJHQYAU","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Blocked","Block","Do not meet the qualification for follow-up tasks. The worker will be unblocked after the follow-up tasks end."
"A1R2GKP9RVX5SA","https://requester.mturk.com/workers/A1R2GKP9RVX5SA","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Blocked","Block","Do not meet the qualification for follow-up tasks. The worker will be unblocked after the follow-up tasks end."
"A1RGKDDAQN68NO","https://requester.mturk.com/workers/A1RGKDDAQN68NO","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Blocked","Block","Do not meet the qualification for follow-up tasks. The worker will be unblocked after the follow-up tasks end."
"A1RK4PGIIJGBQN","https://requester.mturk.com/workers/A1RK4PGIIJGBQN","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Blocked","Block","Do not meet the qualification for follow-up tasks. The worker will be unblocked after the follow-up tasks end."
"A1RQ5U07YUVUFF","https://requester.mturk.com/workers/A1RQ5U07YUVUFF","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Blocked","Block","Do not meet the qualification for follow-up tasks. The worker will be unblocked after the follow-up tasks end."
"A1RV1XCSULL4DK","https://requester.mturk.com/workers/A1RV1XCSULL4DK","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Blocked","Block","Do not meet the qualification for follow-up tasks. The worker will be unblocked after the follow-up tasks end."
"A1SX9GLTEPQ25T","https://requester.mturk.com/workers/A1SX9GLTEPQ25T","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Blocked","Block","Do not meet the qualification for follow-up tasks. The worker will be unblocked after the follow-up tasks end."
"A1TB704LFMMB4R","https://requester.mturk.com/workers/A1TB704LFMMB4R","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Blocked","Block","Do not meet the qualification for follow-up tasks. The worker will be unblocked after the follow-up tasks end."
"A1TW60NCALLP12","https://requester.mturk.com/workers/A1TW60NCALLP12","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Blocked","Block","Do not meet the qualification for follow-up tasks. The worker will be unblocked after the follow-up tasks end."
"A1WAWEY2810TFN","https://requester.mturk.com/workers/A1WAWEY2810TFN","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Blocked","Block","Do not meet the qualification for follow-up tasks. The worker will be unblocked after the follow-up tasks end."
"A1X576NYQGAOFT","https://requester.mturk.com/workers/A1X576NYQGAOFT","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Blocked","Block","Do not meet the qualification for follow-up tasks. The worker will be unblocked after the follow-up tasks end."
"A1XE81PDQ4YPE","https://requester.mturk.com/workers/A1XE81PDQ4YPE","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Blocked","Block","Do not meet the qualification for follow-up tasks. The worker will be unblocked after the follow-up tasks end."
"A1ZSKDWK3U7KKR","https://requester.mturk.com/workers/A1ZSKDWK3U7KKR","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Blocked","Block","Do not meet the qualification for follow-up tasks. The worker will be unblocked after the follow-up tasks end."
"A20MHE48O1SO56","https://requester.mturk.com/workers/A20MHE48O1SO56","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Blocked","Block","Do not meet the qualification for follow-up tasks. The worker will be unblocked after the follow-up tasks end."
"A20QXCW2IQ1JTI","https://requester.mturk.com/workers/A20QXCW2IQ1JTI","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Blocked","Block","Do not meet the qualification for follow-up tasks. The worker will be unblocked after the follow-up tasks end."
"A218NU5B90J6CJ","https://requester.mturk.com/workers/A218NU5B90J6CJ","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Blocked","Block","Do not meet the qualification for follow-up tasks. The worker will be unblocked after the follow-up tasks end."
"A22KNHLEDEI42N","https://requester.mturk.com/workers/A22KNHLEDEI42N","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Blocked","Block","Do not meet the qualification for follow-up tasks. The worker will be unblocked after the follow-up tasks end."
"A22MSGVDN6N18K","https://requester.mturk.com/workers/A22MSGVDN6N18K","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Blocked","Block","Do not meet the qualification for follow-up tasks. The worker will be unblocked after the follow-up tasks end."
"A22PI3R7TAKVVA","https://requester.mturk.com/workers/A22PI3R7TAKVVA","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Blocked","Block","Do not meet the qualification for follow-up tasks. The worker will be unblocked after the follow-up tasks end."
"A23NESSAWIXYA5","https://requester.mturk.com/workers/A23NESSAWIXYA5","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Blocked","Block","Do not meet the qualification for follow-up tasks. The worker will be unblocked after the follow-up tasks end."
"A24NA8ASZY358P","https://requester.mturk.com/workers/A24NA8ASZY358P","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Blocked","Block","Do not meet the qualification for follow-up tasks. The worker will be unblocked after the follow-up tasks end."
